place_id,name,formatted_address,website,formatted_phone_number
ChIJi95ZAHskWpMRSDEY6ZOXPRE,School of the Nations,"SHIS QI 21 Área Especial - Lago Sul, Brasília - DF, 71655-600, Brazil",http://escoladasnacoes.com.br/,(61) 3366-1800
ChIJF5Bg_es6WpMRvcwIw-iuX4U,Colégio Seriös,"SGAS 902 Lote 75, Brasília - DF, 70390-020, Brazil",http://www.colegioserios.com.br/,(61) 3049-8800
ChIJuwIApYUwWpMR8LASbK8nnsQ,Sky Brasilia - Early Childhood Education,"15°47'04. 47°55'48.0""W - QRSW 07, Lote 01, s/n - Comércio Local, St. Sudoeste, Brasília - DF, 70675-750, Brazil",http://escolaceudebrasilia.com.br/,(61) 3032-1919
ChIJW6dyres6WpMRu_oVts2S5Jo,Colégio Galois,"SGAS II SGAS 601 - Asa Sul, Brasília - DF, 70200-610, Brazil",http://www.galois.com.br/,(61) 3252-2000
ChIJU1iHYQYwWpMRU3OnPTvwbxs,College Notre Dame Brasilia,"SGAS, s/n - Asa Sul, Brasília - DF, 70390-140, Brazil",http://brasilia.notredame.org.br/,(61) 3245-2836
ChIJZWEhmLs6WpMR5MPDaqqrZq8,British School of Brasília,"EQS 708/907 SEPS Q 708/908 C - Asa Sul, Brasília - DF, 70390-079, Brazil",https://britishschoolbrasilia.org/,(61) 3248-3694
ChIJUxI6muk6WpMRIK59-Byzuxs,Escola Salesiana Brasília,"SHIGS 702 BL A - Brasília, DF, 70330-710, Brazil",https://bsb.escolasalesiana.com.br/,(61) 3224-5315
ChIJKUS3XSA6WpMRIIWPhRdZvVY,Colégio Arvense,"SGAN 914 - Asa Norte, Brasília - DF, 70655-775, Brazil",http://www.arvense.com.br/,(61) 3340-9792
ChIJFcJpPOUvWpMRuvp5tkt3FuY,Leonardo da Vinci,"SEPS 703 Conj. B - Asa Sul, Brasília - DF, 70297-400, Brazil",http://leonardoonline.com.br/,(61) 3226-6703
ChIJST2J-9I6WpMRkiBzgoEDXEE,American School of Brasília,"CONJUNTO E, LOTES 34/37, SGAS 605 - Asa Sul, Brasília - DF, 70200-650, Brazil",http://www.eabdf.br/,(61) 3442-9700
ChIJRSnugoo5WpMRhCwIfxDV9a4,Centro Educacional Leonardo da Vinci,"SGAN 914 Conjunto I Setor de Grandes Áreas Norte, Asa Norte, Brasília - DF, 70790-140, Brazil",https://www.leonardoonline.com.br/,(61) 3340-1616
ChIJl6mhZLc6WpMRrzEZAETUwCo,Escola Parque 308 Sul,"SHCS EQS 307/308 - Asa Sul, Brasilia - Federal District, 70200-050, Brazil",,(61) 3901-1545
ChIJ7QOzuW8yWpMR6a5pux6mJhU,Brasilia Technical School,"Avenida Águas Claras QS 07, Lote 02/08 - Vila Areal, Brasília - DF, 70297-400, Brazil",http://www.etb.com.br/,(61) 3901-6767
ChIJ2_9_tYQ6WpMR8CUSzJM7mi4,Maple Bear Brasilia,"Lote 2225, Parte F, SIG Q. 8, s/n, Brasília - DF, 70610-480, Brazil",,(61) 3961-4350
ChIJSS8P2-s6WpMR_T1unh2YPVw,Escola Cresça,"Sgas Q 703/903 Brasília, Sgas, 904 - Brasília, DF, 70390-039, Brazil",http://www.cresca.com.br/,(61) 98515-0192
ChIJF8i-ck8lWpMR7Fb4TneLbmQ,Centro De Ensino Especial 02 De Brasília,"Módulo D, SGAS II SGAS 612 - Asa Sul, Brasília - DF, 70200-715, Brazil",http://www.educacao.df.gov.br/centro-de-ensino-especial-02-de-brasilia/,(61) 3345-5388
ChIJG2_UDSg7WpMRfYudAD6EG6E,Brasilia Music School,"SGA/Sul Quadra 602 Projeção D Parte A - Asa Sul, Brasília - DF, 70200-030, Brazil",http://www.emb.se.df.gov.br/,(61) 3901-7688
ChIJz96oMv07WpMRcXvxf-X5nxw,Avidus School,"Setor - Asa Norte, Brasília - DF, 70790-092, Brazil",http://avidusdf.com.br/,(61) 3772-6050
ChIJS1BPQqg7WpMRaftaSnBak3M,Melhor Colegio De Brasilia,"8706-8774, SGAN MPDFT - Ministério Público do Distrito Federal e Territórios - Brasília, DF, 70091-900, Brazil",,
ChIJH6xeIg87WpMRYVQnrPq7XV4,College Sacred Heart Maria Brasilia,"Conjunto C, SHCGN Sgan 702 Colégio Sagrado Coraçãio de Maria - Asa Norte, DF, 70710-750, Brazil",http://www.redesagradobrasilia.com.br/,(61) 3031-5000
